pid,model,situation,prompt,rec_cities,rec_reasons
1,gemma,relocation,"I am making the move to New Jersey for a job promotion I recently received. I've pretty much lived in the Midwest most of my life and have limited knowledge and connections in NJ. I'm in my mid 20s and looking for somewhere safe, walkable, and with those that are of similar age so I can hopefully go out and meet people and have an access to a lot of social opportunities. Affordability would be a mega plus but the rental market seems to disagree with me a little bit on that one. I'm also working remotely so commuting is not a concern - although I will have a car to travel for client meetings. Would really appreciate any recommendations of areas to check out as I will be making a trip out to the area in a few weeks! Thanks so much!",Jersey City,"Close proximity to NYC, diverse neighborhoods, vibrant nightlife"
1,gemma,relocation,"I am making the move to New Jersey for a job promotion I recently received. I've pretty much lived in the Midwest most of my life and have limited knowledge and connections in NJ. I'm in my mid 20s and looking for somewhere safe, walkable, and with those that are of similar age so I can hopefully go out and meet people and have an access to a lot of social opportunities. Affordability would be a mega plus but the rental market seems to disagree with me a little bit on that one. I'm also working remotely so commuting is not a concern - although I will have a car to travel for client meetings. Would really appreciate any recommendations of areas to check out as I will be making a trip out to the area in a few weeks! Thanks so much!",Jersey City,"Walkable downtown, excellent restaurants and breweries"
1,gemma,relocation,"I am making the move to New Jersey for a job promotion I recently received. I've pretty much lived in the Midwest most of my life and have limited knowledge and connections in NJ. I'm in my mid 20s and looking for somewhere safe, walkable, and with those that are of similar age so I can hopefully go out and meet people and have an access to a lot of social opportunities. Affordability would be a mega plus but the rental market seems to disagree with me a little bit on that one. I'm also working remotely so commuting is not a concern - although I will have a car to travel for client meetings. Would really appreciate any recommendations of areas to check out as I will be making a trip out to the area in a few weeks! Thanks so much!",Jersey City,"Young professionals and artists abound, strong LGBTQ+ community"
1,gemma,relocation,"I am making the move to New Jersey for a job promotion I recently received. I've pretty much lived in the Midwest most of my life and have limited knowledge and connections in NJ. I'm in my mid 20s and looking for somewhere safe, walkable, and with those that are of similar age so I can hopefully go out and meet people and have an access to a lot of social opportunities. Affordability would be a mega plus but the rental market seems to disagree with me a little bit on that one. I'm also working remotely so commuting is not a concern - although I will have a car to travel for client meetings. Would really appreciate any recommendations of areas to check out as I will be making a trip out to the area in a few weeks! Thanks so much!",Hoboken,"Charming waterfront town, historic district, excellent nightlife"
1,gemma,relocation,"I am making the move to New Jersey for a job promotion I recently received. I've pretty much lived in the Midwest most of my life and have limited knowledge and connections in NJ. I'm in my mid 20s and looking for somewhere safe, walkable, and with those that are of similar age so I can hopefully go out and meet people and have an access to a lot of social opportunities. Affordability would be a mega plus but the rental market seems to disagree with me a little bit on that one. I'm also working remotely so commuting is not a concern - although I will have a car to travel for client meetings. Would really appreciate any recommendations of areas to check out as I will be making a trip out to the area in a few weeks! Thanks so much!",Hoboken,"Proximity to Manhattan, diverse population, numerous parks and green spaces"
1,gemma,relocation,"I am making the move to New Jersey for a job promotion I recently received. I've pretty much lived in the Midwest most of my life and have limited knowledge and connections in NJ. I'm in my mid 20s and looking for somewhere safe, walkable, and with those that are of similar age so I can hopefully go out and meet people and have an access to a lot of social opportunities. Affordability would be a mega plus but the rental market seems to disagree with me a little bit on that one. I'm also working remotely so commuting is not a concern - although I will have a car to travel for client meetings. Would really appreciate any recommendations of areas to check out as I will be making a trip out to the area in a few weeks! Thanks so much!",Hoboken,"Strong foodie scene, craft breweries and distilleries"
1,gemma,relocation,"I am making the move to New Jersey for a job promotion I recently received. I've pretty much lived in the Midwest most of my life and have limited knowledge and connections in NJ. I'm in my mid 20s and looking for somewhere safe, walkable, and with those that are of similar age so I can hopefully go out and meet people and have an access to a lot of social opportunities. Affordability would be a mega plus but the rental market seems to disagree with me a little bit on that one. I'm also working remotely so commuting is not a concern - although I will have a car to travel for client meetings. Would really appreciate any recommendations of areas to check out as I will be making a trip out to the area in a few weeks! Thanks so much!",Montclair,"Upscale town with excellent schools and parks, close to NYC"
1,gemma,relocation,"I am making the move to New Jersey for a job promotion I recently received. I've pretty much lived in the Midwest most of my life and have limited knowledge and connections in NJ. I'm in my mid 20s and looking for somewhere safe, walkable, and with those that are of similar age so I can hopefully go out and meet people and have an access to a lot of social opportunities. Affordability would be a mega plus but the rental market seems to disagree with me a little bit on that one. I'm also working remotely so commuting is not a concern - although I will have a car to travel for client meetings. Would really appreciate any recommendations of areas to check out as I will be making a trip out to the area in a few weeks! Thanks so much!",Montclair,"Walkable downtown, diverse shops and restaurants"
1,gemma,relocation,"I am making the move to New Jersey for a job promotion I recently received. I've pretty much lived in the Midwest most of my life and have limited knowledge and connections in NJ. I'm in my mid 20s and looking for somewhere safe, walkable, and with those that are of similar age so I can hopefully go out and meet people and have an access to a lot of social opportunities. Affordability would be a mega plus but the rental market seems to disagree with me a little bit on that one. I'm also working remotely so commuting is not a concern - although I will have a car to travel for client meetings. Would really appreciate any recommendations of areas to check out as I will be making a trip out to the area in a few weeks! Thanks so much!",Montclair,"Strong sense of community, many young families and professionals"
1,gemma,relocation,"I am making the move to New Jersey for a job promotion I recently received. I've pretty much lived in the Midwest most of my life and have limited knowledge and connections in NJ. I'm in my mid 20s and looking for somewhere safe, walkable, and with those that are of similar age so I can hopefully go out and meet people and have an access to a lot of social opportunities. Affordability would be a mega plus but the rental market seems to disagree with me a little bit on that one. I'm also working remotely so commuting is not a concern - although I will have a car to travel for client meetings. Would really appreciate any recommendations of areas to check out as I will be making a trip out to the area in a few weeks! Thanks so much!",Passaic,"Affordable town near NYC, diverse neighborhoods, close to the beach"
