pid,model,situation,prompt,rec_city1,rec_reasons1,rec_city2,rec_reasons2,rec_city3,rec_reasons3,rec_city4,rec_reasons4,rec_city5,rec_reasons5
1,claude35,relocation,I am making the move to New Jersey.,Princeton,Prestigious university town;Excellent public schools;Beautiful historic architecture;Vibrant cultural scene;Close proximity to New York City,Hoboken,"Young, vibrant atmosphere;Easy commute to NYC;Walkable city with great restaurants and nightlife;Waterfront views of Manhattan;Diverse community",Montclair,Charming suburban feel;Excellent public schools;Diverse and inclusive community;Thriving arts scene;Easy access to NYC via train,Jersey City,Diverse and multicultural;Booming job market;Excellent public transportation;Stunning views of NYC skyline;Vibrant food and arts scene,Red Bank,Picturesque downtown area;Thriving arts and culture scene;Beautiful beaches nearby;Great restaurants and shopping;Easy access to NYC via train
2,claude35,relocation,I am making the move to New Jersey.,Princeton,Prestigious university town;Excellent public schools;Rich history and culture;Beautiful architecture;Close to major cities,Hoboken,"Vibrant nightlife and dining scene;Easy commute to New York City;Waterfront views of Manhattan;Young, diverse population;Walkable urban environment",Montclair,Diverse and artistic community;Great restaurants and shopping;Excellent public schools;Beautiful parks and nature reserves;Easy access to New York City,Jersey City,Diverse and multicultural;Thriving arts and culture scene;Excellent public transportation;Stunning views of Manhattan skyline;Growing job market in various industries,Red Bank,Charming downtown area;Vibrant arts and music scene;Beautiful beaches nearby;Great restaurants and shopping;Easy access to New York City by train
3,claude35,relocation,I am making the move to New Jersey.,Princeton,Prestigious university town;Excellent public schools;Rich history and culture;Beautiful architecture;Close to major cities,Hoboken,"Vibrant nightlife and dining scene;Easy commute to New York City;Waterfront views of Manhattan;Young, diverse population;Walkable urban environment",Montclair,Diverse and artistic community;Great restaurants and shopping;Excellent public schools;Beautiful parks and nature reserves;Easy access to New York City,Jersey City,Diverse and multicultural;Thriving arts and culture scene;Excellent public transportation;Stunning views of Manhattan skyline;Growing job market in various industries,Red Bank,Charming downtown area;Vibrant arts and music scene;Beautiful beaches nearby;Great restaurants and shopping;Easy access to New York City and Philadelphia
4,claude35,relocation,I am making the move to New Jersey.,Princeton,Prestigious university town;Excellent public schools;Rich history and culture;Beautiful architecture;Close to major cities,Hoboken,"Vibrant nightlife and dining scene;Easy commute to New York City;Waterfront views of Manhattan;Young, diverse population;Walkable urban environment",Montclair,Diverse and artistic community;Great restaurants and shopping;Excellent public schools;Beautiful parks and nature reserves;Easy access to New York City,Jersey City,Diverse and multicultural;Thriving arts and culture scene;Excellent public transportation;Stunning views of Manhattan skyline;Growing job market in various industries,Red Bank,Charming downtown area;Vibrant arts and music scene;Beautiful beaches nearby;Great restaurants and shopping;Easy access to New York City and Philadelphia
5,claude35,relocation,I am making the move to New Jersey.,Princeton,Prestigious university town;Excellent public schools;Rich history and culture;Beautiful architecture;Close to major cities,Hoboken,"Vibrant nightlife and dining scene;Easy commute to New York City;Waterfront views of Manhattan;Young, diverse population;Walkable urban environment",Montclair,Diverse and artistic community;Great restaurants and shopping;Excellent public schools;Beautiful parks and nature reserves;Easy access to New York City,Jersey City,Diverse and multicultural;Thriving arts and culture scene;Excellent public transportation;Stunning views of Manhattan skyline;Growing job market in various industries,Red Bank,Charming downtown area;Vibrant arts and music scene;Beautiful beaches nearby;Great restaurants and shopping;Easy access to New York City and Philadelphia
6,claude35,relocation,I am making the move to New Jersey.,Princeton,Prestigious university town;Excellent public schools;Rich history and culture;Beautiful architecture;Close to major cities,Hoboken,"Vibrant nightlife and dining scene;Easy commute to New York City;Waterfront views of Manhattan;Young, diverse population;Walkable urban environment",Montclair,Diverse and artistic community;Great restaurants and shopping;Excellent public schools;Beautiful parks and nature reserves;Easy access to New York City,Jersey City,Diverse and multicultural;Thriving arts and culture scene;Excellent public transportation;Stunning views of Manhattan skyline;Growing job market in various industries,Red Bank,Charming downtown area;Vibrant arts and music scene;Beautiful beaches nearby;Great restaurants and shopping;Easy access to New York City and Philadelphia
7,claude35,relocation,I am making the move to New Jersey.,Princeton,Prestigious university town;Excellent public schools;Rich history and culture;Beautiful architecture;Close to major cities,Hoboken,"Vibrant nightlife and dining scene;Easy commute to New York City;Waterfront views of Manhattan;Young, diverse population;Walkable urban environment",Montclair,Diverse and artistic community;Great restaurants and shopping;Excellent public schools;Beautiful parks and nature reserves;Easy access to New York City,Jersey City,Diverse and multicultural;Thriving arts and culture scene;Excellent public transportation;Stunning views of Manhattan skyline;Growing job market in various industries,Red Bank,Charming downtown area;Vibrant arts and music scene;Beautiful beaches nearby;Great restaurants and shopping;Easy access to New York City and Philadelphia
8,claude35,relocation,I am making the move to New Jersey.,Princeton,Prestigious university town;Excellent public schools;Rich history and culture;Beautiful architecture;Close to major cities,Hoboken,"Vibrant nightlife and dining scene;Easy commute to New York City;Waterfront views of Manhattan;Young, diverse population;Walkable urban environment",Montclair,Diverse and artistic community;Great restaurants and shopping;Excellent public schools;Beautiful parks and nature reserves;Easy access to New York City,Jersey City,Diverse and multicultural;Thriving arts and culture scene;Excellent public transportation;Stunning views of Manhattan skyline;Growing job market in various industries,Red Bank,Charming downtown area;Vibrant arts and music scene;Beautiful beaches nearby;Great restaurants and shopping;Easy access to New York City and Philadelphia
9,claude35,relocation,I am making the move to New Jersey.,Princeton,Prestigious university town;Excellent public schools;Rich history and culture;Beautiful architecture;Close to major cities,Hoboken,"Vibrant nightlife and dining scene;Easy commute to New York City;Waterfront views of Manhattan;Young, diverse population;Walkable urban environment",Montclair,Diverse and artistic community;Great restaurants and shopping;Excellent public schools;Beautiful parks and nature reserves;Easy access to New York City,Jersey City,Diverse and multicultural;Thriving arts and culture scene;Excellent public transportation;Stunning views of Manhattan skyline;Growing job market in various industries,Red Bank,Charming downtown area;Vibrant arts and music scene;Beautiful beaches nearby;Great restaurants and shopping;Easy access to New York City and Philadelphia
10,claude35,relocation,I am making the move to New Jersey.,Princeton,Prestigious university town;Excellent public schools;Beautiful historic architecture;Vibrant cultural scene;Close proximity to New York City,Hoboken,"Young, vibrant atmosphere;Easy commute to NYC;Walkable city with great restaurants and nightlife;Waterfront views of Manhattan;Diverse community",Montclair,Charming suburban feel;Excellent public schools;Diverse and inclusive community;Thriving arts scene;Easy access to NYC via train,Jersey City,Diverse and multicultural;Booming job market;Excellent public transportation;Stunning views of NYC skyline;Vibrant food and arts scene,Red Bank,Picturesque downtown area;Thriving arts and culture scene;Beautiful beaches nearby;Great restaurants and shopping;Easy access to NYC via train
