pid,model,situation,prompt,rec_city1,rec_reasons1,rec_city2,rec_reasons2,rec_city3,rec_reasons3,rec_city4,rec_reasons4,rec_city5,rec_reasons5
1,llama,relocation,I am making the move to New Jersey.,Hoboken,Close proximity to NYC;Thriving downtown area;Excellent public transportation,Jersey City,Diverse community;Stunning views of Manhattan;Growing arts and culture scene,Princeton,World-renowned university;Rich history and architecture;Variety of cultural events,Red Bank,Vibrant arts and music scene;Delicious restaurants and bars;Convenient access to beaches,Westfield,Charming downtown area;Highly-rated schools;Easy commute to NYC
2,llama,relocation,I am making the move to New Jersey.,Hoboken,Close proximity to NYC;Thriving downtown area;Excellent public transportation,Jersey City,Stunning views of Manhattan;Diverse community;Growing arts and culture scene,Princeton,World-renowned university;Rich history and architecture;Vibrant downtown with shops and restaurants,Red Bank,Charming downtown with boutique shops;Thriving arts scene;Convenient access to beaches and parks,Westfield,Highly rated schools;Beautiful parks and outdoor spaces;Quaint downtown with shops and eateries
3,llama,relocation,I am making the move to New Jersey.,Hoboken,diverse community;excellent transportation options;thriving nightlife,Montclair,arts and culture scene;historic architecture;highly-rated schools,Princeton,world-renowned university;rich history;cultural attractions,Red Bank,vibrant downtown area;waterfront parks;thriving arts scene,Westfield,charming downtown area;highly-rated schools;convenient commute to NYC
4,llama,relocation,I am making the move to New Jersey.,Hoboken,Close proximity to NYC;Thriving downtown area;Excellent public transportation,Jersey City,Stunning views of Manhattan;Diverse community;Growing arts and culture scene,Princeton,World-renowned university;Rich history and architecture;Variety of cultural events,Red Bank,Vibrant arts and music scene;Delicious restaurants and bars;Convenient access to beaches,Westfield,Charming downtown area;Highly-rated schools;Easy commute to NYC
5,llama,relocation,I am making the move to New Jersey.,Hoboken,diverse community;excellent transportation options;thriving nightlife,Montclair,arts and culture scene;historic architecture;highly-rated schools,Princeton,world-renowned university;rich history;cultural attractions,Red Bank,vibrant downtown area;waterfront parks;thriving arts scene,Westfield,charming downtown area;highly-rated schools;easy commute to NYC
6,llama,relocation,I am making the move to New Jersey.,Hoboken,proximity to NYC;diverse community;excellent restaurants,Jersey City,affordable housing;thriving arts scene;convenient public transportation,Princeton,world-renowned university;historic downtown;cultural events,Red Bank,vibrant nightlife;waterfront views;growing food scene,Westfield,highly rated schools;charming downtown;easy commute to NYC
7,llama,relocation,I am making the move to New Jersey.,Hoboken,proximity to NYC;diverse community;excellent restaurants,Jersey City,diverse community;thriving arts scene;convenient public transportation,Princeton,world-renowned university;rich history;cultural attractions,Red Bank,thriving downtown area;arts and culture scene;waterfront views,Westfield,highly rated schools;charming downtown area;easy commute to NYC
8,llama,relocation,I am making the move to New Jersey.,Hoboken,proximity to NYC;diverse community;vibrant nightlife,Montclair,cultural attractions;excellent schools;commuter-friendly,Princeton,Ivy League university;historic downtown;cultural events,Red Bank,arts scene;waterfront dining;antique shops,Westfield,family-friendly;downtown shopping;easy commute to NYC
9,llama,relocation,I am making the move to New Jersey.,Hoboken,Close proximity to NYC;Thriving downtown area;Excellent public transportation,Jersey City,Stunning views of Manhattan;Growing arts and culture scene;Diverse community,Princeton,World-renowned university;Rich history and architecture;Vibrant downtown area,Red Bank,Charming downtown with shops and restaurants;Thriving arts scene;Convenient access to NYC and beaches,Westfield,Excellent schools;Beautiful parks and outdoor spaces;Quaint downtown area with shops and eateries
10,llama,relocation,I am making the move to New Jersey.,Hoboken,Proximity to NYC;Nightlife and restaurants;Public transportation options,Jersey City,Affordable housing options;Diverse community;Waterfront views,Montclair,Arts and culture scene;Excellent schools;Commuter-friendly,Princeton,Ivy League university;Historic downtown area;Cultural events and festivals,Red Bank,Thriving downtown area;Arts and entertainment options;Waterfront parks and views
11,llama,relocation,I am making the move to New Jersey.,Hoboken,Proximity to NYC;Nightlife;Diverse community,Jersey City,Affordability;Diverse community;Access to NYC,Princeton,Excellent schools;Cultural attractions;Historic downtown,Red Bank,Arts and culture;Thriving downtown;Waterfront views,Montclair,Excellent schools;Diverse community;Commuter-friendly
12,llama,relocation,I am making the move to New Jersey.,Hoboken,proximity to NYC;diverse community;excellent restaurants,Jersey City,diverse community;thriving arts scene;convenient public transportation,Princeton,world-renowned university;rich history;cultural attractions,Red Bank,thriving downtown area;waterfront parks;community events,Westfield,highly rated schools;historic architecture;small-town charm
13,llama,relocation,I am making the move to New Jersey.,Hoboken,Proximity to NYC;Nightlife;Diverse community,Jersey City,Affordability;Diverse community;Access to NYC,Princeton,Excellent schools;Cultural attractions;Historic downtown,Red Bank,Arts and culture;Thriving downtown;Waterfront views,Montclair,Excellent schools;Diverse community;Commuter-friendly
14,llama,relocation,I am making the move to New Jersey.,Hoboken,Proximity to NYC;Nightlife;Diverse community,Jersey City,Waterfront views;Easy commute to NYC;Growing arts scene,Montclair,Family-friendly atmosphere;Highly-rated schools;Variety of community events,Princeton,Ivy League university;Rich history;Cultural attractions,Red Bank,Arts and culture;Thriving downtown area;Scenic waterfront
15,llama,relocation,I am making the move to New Jersey.,Hoboken,proximity to NYC;diverse community;excellent restaurants,Jersey City,diverse community;thriving arts scene;convenient public transportation,Princeton,world-renowned university;rich history;cultural attractions,Red Bank,thriving downtown area;arts and culture scene;waterfront views,Westfield,highly rated schools;charming downtown area;easy commute to NYC
16,llama,relocation,I am making the move to New Jersey.,Hoboken,Close proximity to NYC;Thriving downtown area;Excellent public transportation,Jersey City,Stunning views of Manhattan;Diverse community;Growing arts and culture scene,Princeton,World-renowned university;Rich history and architecture;Plenty of cultural events,Red Bank,Charming downtown with shops and restaurants;Beautiful waterfront;Thriving arts scene,Westfield,Highly rated schools;Historic downtown with shops and eateries;Convenient commute to NYC
17,llama,relocation,I am making the move to New Jersey.,Hoboken,diverse community;excellent transportation options;thriving nightlife,Montclair,highly rated schools;charming downtown area;abundant cultural events,Princeton,world-renowned university;historic downtown area;vibrant arts scene,Westfield,top-rated schools;safe and family-friendly;easy commute to NYC,Jersey City,diverse economy;stunning waterfront views;wide range of cultural attractions
18,llama,relocation,I am making the move to New Jersey.,Hoboken,proximity to NYC;diverse community;excellent restaurants,Jersey City,diverse community;thriving arts scene;convenient public transportation,Princeton,world-renowned university;rich history;cultural attractions,Red Bank,thriving downtown area;arts and culture scene;waterfront views,Westfield,highly rated schools;charming downtown area;easy commute to NYC
19,llama,relocation,I am making the move to New Jersey.,Hoboken,proximity to NYC;thriving nightlife;excellent public transportation,Jersey City,diverse community;affordable housing options;beautiful waterfront views,Montclair,arts and culture scene;excellent schools; historic architecture,Red Bank,thriving downtown area;beaches and outdoor activities;community events,Princeton,world-renowned university;rich history;cultural attractions
20,llama,relocation,I am making the move to New Jersey.,Hoboken,proximity to NYC;diverse community;excellent restaurants,Jersey City,diverse community;thriving arts scene;convenient public transportation,Princeton,world-renowned university;rich history;cultural attractions,Red Bank,thriving downtown area;arts and culture scene;waterfront views,Westfield,highly rated schools;charming downtown area;easy commute to NYC
