pid,model,situation,prompt,rec_city1,rec_reasons1,rec_city2,rec_reasons2,rec_city3,rec_reasons3,rec_city4,rec_reasons4,rec_city5,rec_reasons5
1,mistral,relocation,I am making the move to New Jersey.,Princeton,Historic town with excellent universities;Close to New York City;Charming downtown area,Jersey City,Diverse and vibrant community;Easy access to Manhattan;Growing food and art scene,Hoboken,Walkable city with a strong sense of community;Close to Manhattan;Excellent dining options,Montclair,Artsy and culturally diverse;Beautiful architecture and parks;Close to NYC but with a suburban feel,Morristown,Historic downtown with plenty of shops and restaurants;Close to NYC and other major cities;Strong job market
2,mistral,relocation,I am making the move to New Jersey.,Princeton,Historic town with many cultural attractions;Highly regarded university;Great place for dining and shopping,Jersey City,Convenient location near NYC;Diverse neighborhood with vibrant culture;Easy access to public transportation,New Brunswick,Home to Rutgers University;Unique blend of historic and modern architecture;Lively downtown with food and entertainment,Hoboken,Reufthafen optimale Verkehrsanbindung an NYC;Viel Kultur und Geschichte;Sehenswürdigkeiten und Attraktionen für jung und alt,Montclair,Aussichtsreiche Lage mit Nähe zu NYC; гостеприимная и богатая культуры община;Дешёвая жизнь и доступное жильё
3,mistral,relocation,I am making the move to New Jersey.,Princeton,"Historic downtown, vibrant arts scene, excellent dining;Walkable, bike-friendly, with a strong sense of community",Morristown,"Rich history, well-preserved architecture, cultural diversity;Close proximity to New York City for commuting and leisure",New Brunswick,"Diverse dining options, active nightlife, and.< >strong job market;Thriving arts community with numerous galleries and museums",Montclair,"Tree-lined streets, beautiful homes, a strong educational hub;A diverse mix of restaurants and shops in the downtown district",Hoboken,"Thriving dining scene, stunning views of the city and Statue of Liberty;Walkability, a strong arts community, and a short commute to NYC"
4,mistral,relocation,I am making the move to New Jersey.,Princeton,Historic town with excellent universities;Charming downtown with vibrant arts scene,Montclair,Diverse community with strong public schools;Easy access to NYC via public transportation,Jersey City,Thriving food scene and nightlife;Waterfront views and parks,Morristown,Well-preserved Revolutionary War sites;High-end shopping and dining,New Brunswick,Home to Rutgers University;Eclectic mix of cultures and cuisines
5,mistral,relocation,I am making the move to New Jersey.,Princeton,"Historical town with renowned educational institutions;Rich cultural scene, museums and performances;Close to New York City but with a suburban feel",Jersey City,Highly urban with vibrant arts and nightlife;Proximity to all major city services and attractions;Diverse and multicultural community,Morristown,Charming downtown with many shops and restaurants;Excellent public transportation links to New York City;Sense of community and safety,Hoboken,"Walkability and waterfront living;Proximity to Wall Street and major financial centres;Close-knit, urban community",Princeton Junction,Commuting hub with easy access to diverse job opportunities;Mix of urban and suburban living options;Highly-rated school district
6,mistral,relocation,I am making the move to New Jersey.,Princeton,Historic town with excellent universities;Charming downtown with vibrant arts scene,Montclair,Diverse community with strong public schools;Easy access to NYC via public transportation,Jersey City,Thriving food scene and nightlife;Waterfront views and parks,Morristown,Well-preserved Revolutionary War sites;High-end shopping and dining,New Brunswick,Home to Rutgers University;Eclectic mix of cultures and cuisines
7,mistral,relocation,I am making the move to New Jersey.,Princeton,Historic town with many universities;Close to NYC,Morristown,Rich in history with many museums;Close to NYC,Montclair,Artsy and cultural with many festivals;Close to NYC,Jersey City,Diverse and vibrant with many restaurants;Easy access to NYC,Hoboken,Urban with many young professionals;Close to NYC
8,mistral,relocation,I am making the move to New Jersey.,Princeton,Historic town with Ivy League university;Close to New York City;Vibrant arts and culture scene,Jersey City,Diverse and vibrant city with waterfront views;Easy access to Manhattan;Growing food and craft beer scene,Montclair,Charming town with excellent schools;Close to NYC but with a suburban feel;Thriving arts and music scene,Hoboken,Walkable city with urban feel;Close to NYC with easy public transportation;Diverse dining and nightlife options,Morristown,Historic town with beautiful architecture;Close to NYC and other major cities;Strong job market and economic opportunities
9,mistral,relocation,I am making the move to New Jersey.,Princeton,Historic town with excellent universities;Charming downtown with vibrant arts scene,Montclair,Diverse community with strong public schools;Easy access to NYC via public transportation,Jersey City,Thriving food scene and nightlife;Waterfront views and parks,Morristown,Well-preserved Revolutionary War sites;High-end shopping and dining,New Brunswick,Home to Rutgers University;Eclectic mix of cultures and cuisines
10,mistral,relocation,I am making the move to New Jersey.,Princeton,Historical town with Ivy League university;Close to NYC with good public transport,Morristown,Beautiful parks and historic sites;Vibrant downtown with great food scene,Montclair,Artsy community with diverse culture;Access to beautiful nature and outdoor activities,Jersey City,Diverse neighborhoods with vibrant arts scene;Easy access to Manhattan with ferry service,Asbury Park,Beach town with lively music scene;Gay-friendly community with pride events
