,model,situation,prompt,rec_city1,rec_reasons1,rec_city2,rec_reasons2,rec_city3,rec_reasons3,rec_city4,rec_reasons4,rec_city5,rec_reasons5
0,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a good bike score.,Princeton,High Walkability Score;Close to NYC;Bike Lanes and Trails,New Brunswick,University Town;Bike-Friendly Infrastructure;Close to NYC,Jersey City,Waterfront Bike Paths;Bike-Sharing Program;Close to NYC,Hoboken,Walkable Downtown;Bike Lanes and Sharrows;Close to NYC,Montclair,Bike-Friendly Community;Close to NYC;Hillsborough Township Bike Path
1,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a good bike score.,Princeton,High Bike Score;Close to NYC; Bike-friendly streets;Frequent bike share program,New Brunswick,Walkable downtown;Bike lanes on major roads; Close to Rutgers University;Regular community events,Jersey City,Waterfront bike paths;Easy access to NY via public transportation; Bike-friendly businesses;Diverse community,Hoboken,Car-free zone downtown;Multiple bike rental stations; Bike-friendly infrastructure;Close to NYC via ferry,Somerville,Pedestrian-friendly streets;Growing bike culture; Close to NJ Transit lines; Bike repair shops
2,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a good bike score.,Newark,Well connected by NJ Transit and PATH for easy biking access;Bike-friendly infrastructure with a network of bike lanes and trails;Close to Manhattan for commuting opportunities,Princeton,Ranked as one of the most bike-friendly college towns; bike lanes along major roads and connecting recreational trails;Many local shops and eateries that support cyclists,New Brunswick,Named a bronze level Bicycle Friendly Community by the League of American Bicyclists;Numerous bike lanes and bike routes throughout the city;close proximity to New York City for commuting opportunities,Cherry Hill,close proximity to Philadelphia for commuting opportunities; bike lanes and shared lanes in the downtown area;Safe routes to schools for families with children,Elizabeth,Bike lanes and on-street bike routes throughout the city;Close to New York City for commuting opportunities;Active local bike advocacy group
3,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a good bike score.,Princeton,High Walkability Score;Close to NYC;Bike Lanes and Trails,New Brunswick,University Town;Bike-Friendly Infrastructure;Close to NYC,Jersey City,Waterfront Bike Paths;Bike-Sharing Program;Close to NYC,Hoboken,Walkable Downtown;Bike Lanes and Sharrows;Close to NYC,Montclair,Bike-Friendly Community;Close to NYC;Hillsborough Township Bike Path
4,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a good bike score.,New Brunswick,Walkable downtown;Accessible by train to NYC;Great restaurants and nightlife;Bike-friendly infrastructure,Princeton,"Pedestrian-friendly;Close to NYC;Top-rated university;Multiple bike trails, e.g. D&R Greenway Land Trust",Jersey City,Waterfront views;Urban development with bike lanes;Variety of dining options;Easy access to Manhattan,Westfield,Tree-lined streets;Strong school system;Keen biking community;Safe and quiet neighborhoods,Hoboken,High walkability;Waterfront location;Short commute to Manhattan;Diverse cultural scene
5,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a good bike score.,Jersey City,Diverse neighborhoods;Strong bike network;Close to Manhattan,Newark,Easy access to NYC via train;Cultural diversity;Many bike lanes,Princeton,University town with good infrastructure;Safe and bike-friendly;Close to Princeton University,Hoboken,Walkable and compact;Excellent bike paths;Close to NYC,Morristown,Tree-lined streets;Parks and green spaces;Good bike infrastructure
6,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a good bike score.,Jersey City,High Walkability Score;Bike Lanes;Close to NYC,Newark,Bicycle Network;Historic Sites;Diverse Communities,Princeton,University Town;Scenic Routes;Close to NYC,Cranford,Safe Neighborhoods;Bike Trails;Close to NYC,Hoboken,Urban Living;Bike Share Program;Close to NYC
7,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a good bike score.,Newark,High Walk Score;Bike lanes and trails;Close to NYC,Jersey City,Walk Score;Bike Score;Waterfront access,Princeton,Bike Score;University town;Historic district,Hoboken,Walk Score;Bike Score;Urban living with suburban feel,Montclair,Bike Score;Walk Score;Arts and culture scene
8,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a good bike score.,Princeton,High Walkability Score;Close to NYC;Bike Lanes and Trails,New Brunswick,University Town;Bike-Friendly Infrastructure;Close to NYC,Jersey City,Waterfront Bike Paths;Bike-Sharing Program;Close to NYC,Hoboken,Walkable Downtown;Bike Lanes and Sharrows;Close to NYC,Montclair,Bike-Friendly Community;Close to NYC;Hillsborough Township Bike Path
9,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a good bike score.,Princeton,High Walkability Score;Close to NYC;Bike Lanes and Trails,New Brunswick,University Town;Bike-Friendly Infrastructure;Close to NYC,Jersey City,Waterfront Bike Paths;Bike-Sharing Program;Close to NYC,Hoboken,Walkable Downtown;Bike Lanes and Sharrows;Close to NYC,Montclair,Bike-Friendly Community;Close to NYC;Hillsborough Township Bike Path
