pid,model,situation,prompt,rec_city1,rec_reasons1,rec_city2,rec_reasons2,rec_city3,rec_reasons3,rec_city4,rec_reasons4,rec_city5,rec_reasons5
1,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,High number of bike lanes;Close to NYC for commuting;Diverse culture and food scene,Jersey City,Walkable city with bike infrastructure;Close to NYC for commuting;Vibrant arts and music scene,Princeton,University town with bike-friendly streets;Close to NYC for commuting;Historic architecture and parks,Montclair,Tree-lined streets and bike paths;Close to NYC for commuting;Strong sense of community,Hoboken,High walkability and bike score;Close to NYC for commuting;Waterfront views and urban lifestyle
2,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,High bike score;Close to NYC;Diverse culture,Jersey City,High bike score;Waterfront views;Vibrant arts scene,Princeton,High bike score;Historic town;Strong academic community,Montclair,High bike score;Tree-lined streets;Excellent schools,Hoboken,High bike score;Walkable city;Dynamic food scene
3,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,High bike score;Close to NYC;Diverse culture,Jersey City,High bike score;Waterfront views;Vibrant arts scene,Princeton,High bike score;Historic town;Strong academic community,Montclair,High bike score;Tree-lined streets;Excellent schools,Hoboken,High bike score;Walkable city;Dynamic food scene
4,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,High number of bike lanes;Bike-sharing program available;Close to NYC for commuting,Jersey City,Walkable city with bike infrastructure;Bike-sharing program available;Close to NYC for commuting,Princeton,University town with bike-friendly infrastructure;Close to NYC for commuting,Hoboken,High walkability score with bike infrastructure;Bike-sharing program available;Close to NYC for commuting,Montclair,Bike-friendly community with many bike lanes;Close to NYC for commuting
5,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,High number of bike lanes;Access to Citi Bike program;Proximity to Manhattan,Newark,Bike-friendly infrastructure;Active cycling community;Convenient access to public transportation,Princeton,Designated bike routes;Scenic cycling paths;University town with a vibrant atmosphere,Hoboken,Walk and bike-friendly urban center;Easy access to New York City via ferry or train;Active downtown and waterfront development,Trenton,Bike-friendly city policies;Designated bike lanes and shared-use paths;Connectivity to surrounding towns and trails
6,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,High Walk Score;Easy Access to NYC;Waterfront Living,Newark,High Bike Score;Diverse Community;Historical Significance,Princeton,"High Walk Score;Bike-Friendly', 'Educational Institutions",Peddie,High Bike Score;Outdoor Activities;Close-knit Community,Hoboken,"High Walk Score; Bike-Friendly ', 'Close to NYC"
7,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,New Brunswick,Highly rated for cycling byWalkScore;Home to Rutgers University;Numerous bike lanes and routes;Active local cycling community,Jersey City,Excellent Walk Score and Transit Score;Easy access to New York City by train;Numerous bike-sharing stations;Waterfront trails and parks,Somerville,Bike-friendly town with a small-town feel;Close to major cities for commuting;Well-connected by bike trails and routes;Hosts annual bike events,Camden,Affordable living with good bike infrastructure;Home to Rutgers-Camden University;Emily and Joe Klein West Jersey Bikeway nearby;Diverse neighborhoods with unique charm,Trenton,Growing cycling scene in the state capital;Home to the Trenton Thunder minor-league baseball team;Close to cycling trails and paths along the Delaware River;Efforts to improve bike infrastructure
8,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Princeton,High number of bike lanes;Active cycling community;Close to nature trails,New Brunswick,Bike-friendly streets;Close to Rutgers University;Access to NJ Transit,Somerville,High walkability score;Close to NYC by train;Bike-sharing program,Hoboken,Car-free streets;Waterfront views;Close to NYC by ferry,Jersey City,Bike-friendly infrastructure;Diverse neighborhoods;Access to PATH and NJ Transit
9,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,High bike score;Close to NYC;Diverse culture,Jersey City,High bike score;Waterfront views;Vibrant arts scene,Princeton,High bike score;Historic town;Strong academic community,Montclair,High bike score;Tree-lined streets;Excellent schools,Hoboken,High bike score;Walkable city;Dynamic food scene
10,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,High bike score;Walkable neighborhoods;Near New York City,Newark,High bike score;Affordable housing;Diverse culture,Princeton,High bike score;Beautiful green spaces;Educational institutions,Bloomfield,High bike score;Close-knit community;Access to public transportation,Montclair,High bike score;Artistic communities;Proximity to New York City
11,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,New Brunswick,High number of cyclists;Bike-friendly infrastructure;Close to NY City for commuting options,Somerville,Easy access to cycling trails; Large college student population;Frequent bike lane maintenance,Jersey City,Connected by multiple bike routes;Diverse neighborhoods with bike culture;Regular bike events and festivals,Hoboken,"Compact city layout, easy to navigate by bike;Mile-square city with a strong cycling community;One of the best cities in the US for biking according to Walk Score",Trenton,Access to the Delaware & Raritan Canal towpath for cycling;Culture of sustainable living and transportation;Hosts annual Bike & Walk to School Day events
12,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,Large bike infrastructure;Close to NYC for commuting,Jersey City,High walkability score;Close to NYC for commuting,Princeton,University town with bike-friendly culture;Close to NYC for commuting,Hoboken,High walkability score;Bike-sharing program,Montclair,Bike-friendly community;Close to NYC for commuting
13,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,High bike score;Close to NYC;Diverse culture,Jersey City,High bike score;Waterfront views;Vibrant arts scene,Princeton,High bike score;Historic town;Strong academic community,Montclair,High bike score;Tree-lined streets;Excellent schools,Hoboken,High bike score;Walkable city;Dynamic food scene
14,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,New Brunswick,High number of bike lanes;Close to Rutgers University;Eclectic food scene,Somerville,Several bike shops; pedestrian-friendly;Vibrant arts scene,Jersey City,Excellent public transportation;Access to Jersey Bike Share;Diverse neighborhoods, anys,Numerous biking trails;Close to New York City;Festivals and events throughout the year,Princeton,Home to Princeton University;Lively downtown;Beautiful green spaces
15,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,"Bike Score: 70, Easy access to Manhattan, Historic downtown, Diverse culture;Bike Score: 70, Great dining scene, Museums and art galleries, Walkable neighborhood",Princeton,"Bike Score: 75, University town with abundant student services, Historical sites, Cultural events and festivals",Jersey City,"Bike Score: 68, Bustling city with many job opportunities, Bike-friendly infrastructure, Access to Hudson River Waterfront Walkway",Montclair,"Bike Score: 65, Quiet residential neighborhoods, Strong sense of community, Close to nature and outdoor activities",Hoboken,"Bike Score: 72, Dense urban center with numerous restaurants and shops, Easy access to NYC via PATH, Vibrant nightlife"
16,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Princeton,High number of bike lanes;Active cycling community;Close to NYC for commuting,Newark,Bike-sharing program;Flat terrain for easy cycling;Home to Rutgers University,Hoboken,Walkable city with bike infrastructure;Short distance to NYC via ferry;Vibrant urban culture,Jersey City,Large network of bike paths;Waterfront views for scenic rides;Diverse neighborhoods and food scene,Montclair,Tree-lined streets and bike lanes;Close to nature and hiking trails;Arts and cultural scene
17,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,High bike score;Close to NYC;Diverse culture,Jersey City,High bike score;Waterfront views;Vibrant arts scene,Princeton,High bike score;Historic town;Strong academic community,Montclair,High bike score;Tree-lined streets;Strong sense of community,Hoboken,High bike score;Walkable city;Close to NYC
18,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,High bike score;Close to NYC;Diverse culture,Jersey City,High bike score;Waterfront views;Vibrant arts scene,Princeton,High bike score;Historic town;Strong academic community,Montclair,High bike score;Tree-lined streets;Strong sense of community,Hoboken,High bike score;Walkable city;Close to NYC
19,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,Large bike infrastructure;Close to NYC for commuting,Jersey City,High walkability score;Close to NYC for commuting,Princeton,University town with bike-friendly culture;Close to NYC for commuting,Hoboken,High walkability score;Bike-sharing program,Montclair,Bike-friendly community;Close to NYC for commuting
20,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,High bike score;Close to NYC;Diverse culture,Jersey City,High bike score;Waterfront views;Vibrant arts scene,Princeton,High bike score;Historic town;Strong academic community,Montclair,High bike score;Tree-lined streets;Strong sense of community,Hoboken,High bike score;Walkable city;Close to NYC
21,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Beaches;Golf Courses;Cultural Scene,Sarasota,Beaches;Cultural Scene;Affordable Housing,The Villages,Golf Courses;Active Adult Communities;Low Taxes,Port St. Lucie,Master-Planned Communities;Affordable Housing;No State Income Tax,St. Petersburg,Beaches;Cultural Scene;Walkable Downtown
22,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Tax-friendly for retirees;Active adult communities;Golf courses and country clubs;Beach access,The Villages,High number of age-restricted neighborhoods;Wide range of amenities;Central Florida location;Access to cultural activities,Sarasota,Beaches and cultural activities;Affordable housing;Walkable downtown area;Access to healthcare facilities,Port St. Lucie,Master-planned communities;Golf courses and recreational facilities;Low crime rates;Affordable housing,Bonita Springs,Beach access;Tax-friendly;Active adult communities;Access to healthcare facilities
23,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Beaches;Golf courses;Arts and culture,Sarasota,Beaches;Cultural attractions;Historic district,The Villages,Golf courses;Retirement community;Amenities,Port St. Lucie,Master-planned communities;Golf courses;Affordable housing,Bonita Springs,Beaches;Golf courses;Low crime rate
24,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Beaches;Golf Courses;Cultural Scene,Sarasota,Beaches;Cultural Scene;Affordable Housing,The Villages,Golf Courses;Active Adult Communities;Low Taxes,Port St. Lucie,Master-Planned Communities;Affordable Housing;No State Income Tax,St. Petersburg,Beaches;Cultural Scene;Walkable Downtown
25,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Beaches;Golf Courses;Arts and Culture,Sarasota,Beaches;Cultural Attractions;Golf Courses,The Villages,Golf Courses;Retirement Community;Amenities,Port St. Lucie,Master Planned Communities;Golf Courses;Low Taxes,Bonita Springs,Beaches;Golf Courses;Low Crime Rate
26,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Sarasota,Active arts scene;Highly rated healthcare facilities;Low crime rates,Naples,Golfing communities;Warm weather year-round;Lively entertainment scene,The Villages,Planned communities;Variety of amenities;Social lifestyle,Port St. Lucie,Tax-friendly for retirees;Master-planned communities;Access to beaches and outdoor activities,St. Augustine,Historic district;Access to cultural attractions;Lower cost of living compared to other popular Florida destinations
27,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Beaches;Golf Courses;Cultural Scene,Sarasota,Beaches;Cultural Scene;Affordable Housing,The Villages,Golf Courses;Active Adult Communities;Low Taxes,Port St. Lucie,Master-Planned Communities;Affordable Housing;No State Income Tax,St. Petersburg,Beaches;Cultural Scene;Walkable Downtown
