,model,situation,prompt,rec_city1,rec_reasons1,rec_city2,rec_reasons2,rec_city3,rec_reasons3,rec_city4,rec_reasons4,rec_city5,rec_reasons5
0,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,High number of bike lanes;Close to NYC for commuting;Diverse culture and food scene,Jersey City,Walkable city with bike infrastructure;Close to NYC for commuting;Vibrant arts and music scene,Princeton,University town with bike-friendly streets;Close to NYC for commuting;Historic architecture and parks,Montclair,Tree-lined streets and bike paths;Close to NYC for commuting;Strong sense of community,Hoboken,High walkability and bike score;Close to NYC for commuting;Waterfront views and urban lifestyle
1,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,High bike score;Close to NYC;Diverse culture,Jersey City,High bike score;Waterfront views;Vibrant arts scene,Princeton,High bike score;Historic town;Strong academic community,Montclair,High bike score;Tree-lined streets;Excellent schools,Hoboken,High bike score;Walkable city;Dynamic food scene
2,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,High bike score;Close to NYC;Diverse culture,Jersey City,High bike score;Waterfront views;Vibrant arts scene,Princeton,High bike score;Historic town;Strong academic community,Montclair,High bike score;Tree-lined streets;Excellent schools,Hoboken,High bike score;Walkable city;Dynamic food scene
3,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,High number of bike lanes;Bike-sharing program available;Close to NYC for commuting,Jersey City,Walkable city with bike infrastructure;Bike-sharing program available;Close to NYC for commuting,Princeton,University town with bike-friendly infrastructure;Close to NYC for commuting,Hoboken,High walkability score with bike infrastructure;Bike-sharing program available;Close to NYC for commuting,Montclair,Bike-friendly community with many bike lanes;Close to NYC for commuting
4,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,High number of bike lanes;Access to Citi Bike program;Proximity to Manhattan,Newark,Bike-friendly infrastructure;Active cycling community;Convenient access to public transportation,Princeton,Designated bike routes;Scenic cycling paths;University town with a vibrant atmosphere,Hoboken,Walk and bike-friendly urban center;Easy access to New York City via ferry or train;Active downtown and waterfront development,Trenton,Bike-friendly city policies;Designated bike lanes and shared-use paths;Connectivity to surrounding towns and trails
5,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,High Walk Score;Easy Access to NYC;Waterfront Living,Newark,High Bike Score;Diverse Community;Historical Significance,Princeton,"High Walk Score;Bike-Friendly', 'Educational Institutions",Peddie,High Bike Score;Outdoor Activities;Close-knit Community,Hoboken,"High Walk Score; Bike-Friendly ', 'Close to NYC"
6,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,New Brunswick,Highly rated for cycling byWalkScore;Home to Rutgers University;Numerous bike lanes and routes;Active local cycling community,Jersey City,Excellent Walk Score and Transit Score;Easy access to New York City by train;Numerous bike-sharing stations;Waterfront trails and parks,Somerville,Bike-friendly town with a small-town feel;Close to major cities for commuting;Well-connected by bike trails and routes;Hosts annual bike events,Camden,Affordable living with good bike infrastructure;Home to Rutgers-Camden University;Emily and Joe Klein West Jersey Bikeway nearby;Diverse neighborhoods with unique charm,Trenton,Growing cycling scene in the state capital;Home to the Trenton Thunder minor-league baseball team;Close to cycling trails and paths along the Delaware River;Efforts to improve bike infrastructure
7,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Princeton,High number of bike lanes;Active cycling community;Close to nature trails,New Brunswick,Bike-friendly streets;Close to Rutgers University;Access to NJ Transit,Somerville,High walkability score;Close to NYC by train;Bike-sharing program,Hoboken,Car-free streets;Waterfront views;Close to NYC by ferry,Jersey City,Bike-friendly infrastructure;Diverse neighborhoods;Access to PATH and NJ Transit
8,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,High bike score;Close to NYC;Diverse culture,Jersey City,High bike score;Waterfront views;Vibrant arts scene,Princeton,High bike score;Historic town;Strong academic community,Montclair,High bike score;Tree-lined streets;Excellent schools,Hoboken,High bike score;Walkable city;Dynamic food scene
9,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,High bike score;Walkable neighborhoods;Near New York City,Newark,High bike score;Affordable housing;Diverse culture,Princeton,High bike score;Beautiful green spaces;Educational institutions,Bloomfield,High bike score;Close-knit community;Access to public transportation,Montclair,High bike score;Artistic communities;Proximity to New York City
10,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,New Brunswick,High number of cyclists;Bike-friendly infrastructure;Close to NY City for commuting options,Somerville,Easy access to cycling trails; Large college student population;Frequent bike lane maintenance,Jersey City,Connected by multiple bike routes;Diverse neighborhoods with bike culture;Regular bike events and festivals,Hoboken,"Compact city layout, easy to navigate by bike;Mile-square city with a strong cycling community;One of the best cities in the US for biking according to Walk Score",Trenton,Access to the Delaware & Raritan Canal towpath for cycling;Culture of sustainable living and transportation;Hosts annual Bike & Walk to School Day events
11,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,Large bike infrastructure;Close to NYC for commuting,Jersey City,High walkability score;Close to NYC for commuting,Princeton,University town with bike-friendly culture;Close to NYC for commuting,Hoboken,High walkability score;Bike-sharing program,Montclair,Bike-friendly community;Close to NYC for commuting
12,mistral,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Newark,High bike score;Close to NYC;Diverse culture,Jersey City,High bike score;Waterfront views;Vibrant arts scene,Princeton,High bike score;Historic town;Strong academic community,Montclair,High bike score;Tree-lined streets;Excellent schools,Hoboken,High bike score;Walkable city;Dynamic food scene
