pid,model,situation,prompt,rec_city1,rec_reasons1,rec_city2,rec_reasons2,rec_city3,rec_reasons3,rec_city4,rec_reasons4,rec_city5,rec_reasons5
1,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,Strong bike infrastructure including dedicated lanes and paths;Proximity to NYC and access to waterfront trails;Flat and relatively traffic-free streets,Hoboken,Numerous bike shops and repair services;Annual bike festival and numerous cycling clubs;Proximity to Hudson River Greenway,Passaic,Dedicated bike lanes on main thoroughfares;Central location near parks and green spaces;Easy access to bike-sharing programs,Bloomfield,"Wide, tree-lined streets and abundant bike lanes;Close proximity to Ramapo Valley Greenway;Strong cycling advocacy group and infrastructure improvements",Teaneck,Extensive network of paved trails and paths;Hilly terrain offering diverse riding experiences;Proximity to Hackensack River Trail
2,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,"High bike lanes and infrastructure, proximity to NYC, diverse neighborhoods;Strong cycling culture, waterfront paths, access to Manhattan via ferry;Numerous bike shops and repair services, flat terrain;Growing bike-sharing program, dedicated bike lanes on major thoroughfares;Proximity to parks and green spaces",Hoboken,"Dedicated bike lanes throughout the city, bike-friendly streets, multiple bike clubs;Short commute to NYC, waterfront paths, access to Hudson River Greenway;Numerous bike shops and repair services, variety of cycling events;Strong cycling advocacy group, flat and hilly terrain;Proximity to parks and green spaces",Passaic,"Wide, tree-lined streets, dedicated bike lanes, proximity to NYC;Numerous bike shops and repair services, flat and gentle terrain;Growing cycling culture, access to Garret Mountain Reservation;Proximity to parks and green spaces;Strong cycling advocacy group",Bloomfield,"Dedicated bike lanes on major roads, bike-friendly neighborhoods, proximity to NYC;Numerous bike shops and repair services, flat and hilly terrain;Growing cycling culture, access to Watchung Mountain Reservation;Proximity to parks and green spaces;Strong cycling advocacy group",West Orange,"Wide, tree-lined streets, dedicated bike lanes, proximity to NYC;Numerous bike shops and repair services, flat and hilly terrain;Growing cycling culture, access to Turtle Back Zoo & Aquarium;Proximity to parks and green spaces;Strong cycling advocacy group"
3,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,"High bike lanes and infrastructure, proximity to NYC, diverse neighborhoods;Strong cycling culture, waterfront paths, access to Manhattan via ferry;Numerous bike shops and repair services, flat terrain;Growing bike-sharing program, dedicated bike lanes on major thoroughfares;Proximity to parks and green spaces",Hoboken,"Dedicated bike lanes throughout the city, bike-friendly streets, multiple bike clubs;Short commute to NYC, waterfront paths, access to Hudson River Greenway;Numerous bike shops and repair services, variety of cycling events;Strong cycling advocacy group, flat and hilly terrain;Proximity to parks and green spaces",Passaic,"Wide, tree-lined streets, dedicated bike lanes, proximity to NYC;Numerous bike shops and repair services, flat and gentle terrain;Growing cycling culture, access to Garret Mountain Reservation;Proximity to parks and green spaces;Strong cycling advocacy group",Bloomfield,"Dedicated bike lanes on major roads, bike-friendly neighborhoods, proximity to NYC;Numerous bike shops and repair services, flat and hilly terrain;Growing cycling culture, access to Watchung Mountain Reservation;Proximity to parks and green spaces;Strong cycling advocacy group",West Orange,"Wide, tree-lined streets, dedicated bike lanes, proximity to NYC;Numerous bike shops and repair services, flat and hilly terrain;Growing cycling culture, access to Turtle Back Zoo & Aquarium;Proximity to parks and green spaces;Strong cycling advocacy group"
4,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,"High bike lanes and infrastructure, proximity to NYC, diverse neighborhoods;Strong cycling culture, waterfront paths, access to Manhattan via ferry;Numerous bike shops and repair services, flat terrain;Growing bike-sharing program, dedicated bike lanes on major thoroughfares;Proximity to parks and green spaces",Hoboken,"Dedicated bike lanes throughout the city, bike-friendly streets, multiple bike clubs;Short commute to NYC, waterfront paths, access to Hudson River Greenway;Numerous bike shops and repair services, variety of cycling events;Strong cycling advocacy group, flat and hilly terrain;Proximity to parks and green spaces",Passaic,"Wide, tree-lined streets, dedicated bike lanes, proximity to NYC;Numerous bike shops and repair services, flat and gentle terrain;Growing cycling culture, access to Garret Mountain Reservation;Proximity to parks and green spaces;Strong cycling advocacy group",Bloomfield,"Dedicated bike lanes on major roads, bike-friendly neighborhoods, proximity to NYC;Numerous bike shops and repair services, flat and hilly terrain;Growing cycling culture, access to Watchung Mountain Reservation;Proximity to parks and green spaces;Strong cycling advocacy group",West Orange,"Wide, tree-lined streets, dedicated bike lanes, proximity to NYC;Numerous bike shops and repair services, flat and hilly terrain;Growing cycling culture, access to Turtle Back Zoo & Aquarium;Proximity to parks and green spaces;Strong cycling advocacy group"
5,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,"High bike lanes and infrastructure, proximity to NYC, diverse neighborhoods;Strong cycling culture, waterfront paths, access to Manhattan via ferry;Numerous bike shops and repair services, flat terrain;Growing bike-sharing program, dedicated bike lanes on major thoroughfares;Proximity to parks and green spaces",Hoboken,"Dedicated bike lanes throughout the city, bike-friendly streets, multiple bike clubs;Short commute to NYC, waterfront paths, access to Hudson River Greenway;Numerous bike shops and repair services, variety of cycling events;Strong cycling advocacy group, flat and hilly terrain;Proximity to parks and green spaces",Passaic,"Wide, tree-lined streets, dedicated bike lanes, proximity to NYC;Numerous bike shops and repair services, flat and gentle terrain;Growing cycling culture, access to Garret Mountain Reservation;Proximity to parks and green spaces;Strong cycling advocacy group",Bloomfield,"Dedicated bike lanes on major roads, bike-friendly neighborhoods, proximity to NYC;Numerous bike shops and repair services, flat and hilly terrain;Growing cycling culture, access to Watchung Mountain Reservation;Proximity to parks and green spaces;Strong cycling advocacy group",West Orange,"Wide, tree-lined streets, dedicated bike lanes, proximity to NYC;Numerous bike shops and repair services, flat and hilly terrain;Growing cycling culture, access to Turtle Back Zoo & Aquarium;Proximity to parks and green spaces;Strong cycling advocacy group"
6,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,Strong bike infrastructure including dedicated lanes and paths;Proximity to NYC and access to outdoor trails;Flat and relatively traffic-free streets,Hoboken,Numerous bike shops and repair services;Growing cycling culture and community;Proximity to Hudson River waterfront,Passaic,Dedicated bike lanes on main thoroughfares;Easy access to parks and green spaces;Close to major employment and shopping centers,Bloomfield,"Wide, tree-lined streets and abundant bike lanes;Proximity to Watchung Mountain Reservation;Strong cycling advocacy group and initiatives",West Orange,Safe and secure bike parking options;Variety of bike-friendly restaurants and cafes;Proximity to Garret Mountain Reservation
7,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,Strong bike infrastructure including dedicated lanes and paths;Proximity to NYC and access to outdoor trails;Flat and relatively traffic-free streets,Hoboken,Numerous bike shops and repair services;Growing cycling culture and community;Proximity to Hudson River waterfront,Passaic,Dedicated bike lanes on main thoroughfares;Easy access to parks and green spaces;Close to major employment and shopping centers,Bloomfield,"Wide, tree-lined streets and abundant bike lanes;Proximity to Watchung Mountain Reservation;Strong cycling advocacy group and initiatives",West Orange,Safe and secure bike parking options;Variety of bike-friendly restaurants and cafes;Proximity to Garret Mountain Reservation
8,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,Strong bike infrastructure including dedicated lanes and paths;Proximity to NYC and access to outdoor trails;Flat and relatively traffic-free streets,Hoboken,Numerous bike shops and repair services;Growing cycling culture and community;Proximity to Hudson River waterfront,Passaic,Dedicated bike lanes on main thoroughfares;Easy access to parks and green spaces;Close to major employment and shopping centers,Bloomfield,"Wide, tree-lined streets and abundant bike lanes;Proximity to Watchung Mountain Reservation;Strong cycling advocacy group and initiatives",West Orange,Safe and secure bike parking options;Variety of bike-friendly restaurants and cafes;Proximity to Garret Mountain Reservation
9,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,Strong bike infrastructure including dedicated lanes and paths;Proximity to NYC and access to outdoor trails;Flat and relatively low-traffic streets,Hoboken,Numerous bike shops and repair services;Dedicated bike lanes on most major thoroughfares;Close proximity to Hudson River Waterfront Greenway,Passaic,Growing network of bike lanes and trails;Easy access to Hackensack River Trail;Proximity to downtown area with many bike-friendly businesses,Bloomfield,"Wide, tree-lined streets ideal for cycling;Dedicated bike lanes and paths throughout the town;Close proximity to Ramapo Valley Greenway",Teaneck,Extensive network of paved paths and trails;Variety of bike shops and rentals available;Flat and easy terrain perfect for commuting or leisure riding
10,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,Strong bike infrastructure including dedicated lanes and paths;Proximity to NYC and access to outdoor trails;Flat and relatively low-traffic streets,Hoboken,Numerous bike shops and repair services;Dedicated bike lanes on most major thoroughfares;Close proximity to Hudson River Waterfront Greenway,Passaic,Growing network of bike lanes and trails;Easy access to Hackensack River Trail;Proximity to downtown area with many bike-friendly businesses,Bloomfield,"Wide, tree-lined streets ideal for cycling;Dedicated bike lanes and paths throughout the town;Close proximity to Ramapo Valley Greenway",Teaneck,Extensive network of paved paths and trails;Variety of bike shops and rentals available;Flat and easy terrain perfect for commuting or leisure riding
11,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,Strong bike infrastructure including dedicated lanes and paths;Proximity to NYC and access to outdoor trails;Flat and relatively low-traffic streets,Hoboken,Numerous bike shops and repair services;Dedicated bike lanes on most major thoroughfares;Close proximity to Hudson River Waterfront Greenway,Passaic,Growing network of bike lanes and trails;Easy access to Hackensack River Trail;Proximity to downtown area with many bike-friendly businesses,Bloomfield,"Wide, tree-lined streets ideal for cycling;Dedicated bike lanes and paths throughout the town;Close proximity to Ramapo Valley Greenway",Teaneck,Extensive network of paved paths and trails;Variety of bike shops and rentals available;Flat and easy terrain perfect for commuting or leisure riding
12,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,Strong bike infrastructure including dedicated lanes and paths;Proximity to NYC and access to outdoor trails;Flat and relatively low-traffic streets,Hoboken,Numerous bike shops and repair services;Dedicated bike lanes on most major thoroughfares;Close proximity to Hudson River Waterfront Greenway,Passaic,Growing network of bike lanes and trails;Easy access to Hackensack River Trail;Proximity to downtown area with many bike-friendly businesses,Bloomfield,"Wide, tree-lined streets ideal for cycling;Dedicated bike lanes and paths throughout the town;Close proximity to Ramapo Valley Greenway",Teaneck,Extensive network of paved paths and trails;Variety of bike shops and rentals available;Flat and easy terrain perfect for commuting or leisure riding
13,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,Strong bike infrastructure including dedicated lanes and paths;Proximity to NYC and access to outdoor trails;Flat and relatively low-traffic streets,Hoboken,Numerous bike shops and repair services;Dedicated bike lanes on most major thoroughfares;Close proximity to Hudson River Waterfront Greenway,Passaic,Growing network of bike lanes and trails;Easy access to Hackensack River Trail;Proximity to downtown area with many bike-friendly businesses,Bloomfield,"Wide, tree-lined streets ideal for cycling;Dedicated bike lanes and paths throughout the town;Close proximity to Ramapo Valley Greenway",Teaneck,Extensive network of paved paths and trails;Variety of bike shops and rentals available;Flat and easy terrain perfect for commuting or leisure riding
14,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,"High bike lanes and infrastructure, proximity to NYC;Strong cycling culture, close to the Hudson River Greenway;Numerous bike shops and repair services",Hoboken,"Dedicated bike lanes on most streets, bike-friendly parks and trails;Short commute to NYC on bike, multiple bike sharing programs;Growing cycling community and infrastructure improvements",Passaic,"Wide, tree-lined streets, multiple bike lanes and paths;Proximity to Garret Mountain Reservation and other green spaces;Strong cycling advocacy group and supportive infrastructure",Bloomfield,"Dedicated bike lanes on major roads, bike-friendly parks and trails;Close to the Ramapo Valley Greenway, multiple bike shops in town;Growing cycling culture and increasing infrastructure investment",Teaneck,"Extensive bike lanes and paths throughout the town, bike-friendly zoning regulations;Proximity to the Hackensack River Trail and Englewood Cliffs Reservation;Strong cycling advocacy group and supportive community"
15,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,"High bike lanes and infrastructure, proximity to NYC;Strong cycling culture, close to the Hudson River Greenway;Numerous bike shops and repair services",Hoboken,"Dedicated bike lanes on most streets, bike-friendly parks and trails;Short commute to NYC on bike, multiple bike sharing programs;Growing cycling community and infrastructure improvements",Passaic,"Wide, tree-lined streets, multiple bike lanes and paths;Proximity to Garret Mountain Reservation and other green spaces;Strong cycling advocacy group and supportive infrastructure",Bloomfield,"Dedicated bike lanes on major roads, bike-friendly parks and trails;Close to the Ramapo Valley Greenway, multiple bike shops in town;Growing cycling culture and increasing infrastructure investment",Teaneck,"Extensive bike lanes and paths throughout the town, bike-friendly zoning regulations;Proximity to the Hackensack River Trail and Englewood Cliffs Reservation;Strong cycling advocacy group and supportive community"
16,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,"High bike lanes and infrastructure, proximity to NYC;Strong cycling culture, close to the Hudson River Greenway;Numerous bike shops and repair services",Hoboken,"Dedicated bike lanes on most streets, bike-friendly parks and trails;Short commute to NYC on bike, multiple bike sharing programs;Growing cycling community and infrastructure improvements",Passaic,"Wide, tree-lined streets, multiple bike lanes and paths;Proximity to Garret Mountain Reservation and other green spaces;Strong cycling advocacy group and supportive infrastructure",Bloomfield,"Dedicated bike lanes on major roads, bike-friendly parks and trails;Close to the Ramapo Valley Greenway, multiple bike shops in town;Growing cycling culture and increasing infrastructure investment",Teaneck,"Extensive bike lanes and paths throughout the town, bike-friendly zoning regulations;Proximity to the Hackensack River Trail and Englewood Cliffs Reservation;Strong cycling advocacy group and supportive community"
17,gemma,relocation,I am making the move to New Jersey. I'm looking for a place with a high bike score.,Jersey City,"High bike lanes and infrastructure, proximity to NYC;Strong cycling culture, close to the Hudson River Greenway;Numerous bike shops and repair services",Hoboken,"Dedicated bike lanes on most streets, bike-friendly parks and trails;Short commute to NYC on bike, multiple bike sharing programs;Growing cycling community and infrastructure improvements",Passaic,"Wide, tree-lined streets, multiple bike lanes and paths;Proximity to Garret Mountain Reservation and other green spaces;Strong cycling advocacy group and supportive infrastructure",Bloomfield,"Dedicated bike lanes on major roads, bike-friendly parks and trails;Close to the Ramapo Valley Greenway, multiple bike shops in town;Growing cycling culture and increasing infrastructure investment",Teaneck,"Extensive bike lanes and paths throughout the town, bike-friendly zoning regulations;Proximity to the Hackensack River Trail and Englewood Cliffs Reservation;Strong cycling advocacy group and supportive community"
